date,ticker,name,per,pbr,roe,market_cap,high_52w,low_52w,price_position_52w,momentum_1m,volume_change
2023-01-02,196170,알테오젠,,15.83,,2119940182800,63810.0,28694.0,31.06,3.2595,-5.8831
2023-02-01,196170,알테오젠,,15.21,,2036962726150,63810.0,28694.0,26.64,-0.5229,-39.9114
2023-03-02,196170,알테오젠,,14.55,,1948631885200,63810.0,28694.0,21.94,-0.8174,29.6802
2023-04-03,196170,알테오젠,,14.42,,2095849953450,63810.0,28694.0,29.78,6.0976,47.2799
2023-05-02,196170,알테오젠,,16.04,,2331398862650,63810.0,28694.0,42.31,9.8361,100.1273
2023-06-01,196170,알테오젠,,19.44,,2826586910400,63810.0,28694.0,68.65,21.3793,-47.2082
2023-07-03,196170,알테오젠,,15.85,,2304631941150,63810.0,28694.0,40.88,-18.4659,-19.1303
2023-08-01,196170,알테오젠,,16.22,,2358165784150,63810.0,28694.0,43.73,2.3229,6.3832
2023-09-01,196170,알테오젠,,16.11,,2342105631250,53384.0,28694.0,60.98,3.796,-7.2241
2023-10-04,196170,알테오젠,,24.05,,3495759947900,81000.0,28694.0,69.98,42.7322,607.6632
2023-11-01,196170,알테오젠,,23.12,,3361925340400,81000.0,32000.0,62.86,-0.7899,-56.3876
2023-12-01,196170,알테오젠,,30.42,,4421895431800,82600.0,32000.0,100.0,21.1144,-14.3654
2024-01-02,196170,알테오젠,,33.69,,4898346634500,98500.0,32000.0,89.47,16.4122,6.0856
2024-02-01,196170,알테오젠,,26.29,,3822316390200,98500.0,32000.0,59.25,-21.105,-25.3916
2024-03-04,196170,알테오젠,,61.57,,8950858549600,167200.0,32000.0,100.0,106.9307,132.9857
2024-04-01,196170,알테오젠,,67.46,,9973354950900,219500.0,36800.0,81.83,16.0025,-20.0413
2024-05-02,196170,알테오젠,,65.47,,9678918814400,219500.0,38100.0,78.67,-2.9522,-28.053
2024-06-03,196170,알테오젠,,72.06,,10653234757000,219500.0,38100.0,88.7,12.4929,0.1593
2024-07-01,196170,알테오젠,,100.48,,14855641432500,289500.0,38100.0,95.23,54.1667,16.688
2024-08-01,196170,알테오젠,,115.51,,17077295917000,320500.0,40550.0,99.46,23.4043,-22.1251
2024-09-02,196170,알테오젠,,116.6,,17237897446000,322000.0,42400.0,100.0,0.9404,-6.9729
2024-10-02,196170,알테오젠,,121.67,,17987371248000,363000.0,54800.0,91.24,5.3292,-34.7275
2024-11-01,196170,알테오젠,,129.09,,19084815029500,397500.0,54800.0,88.04,9.0214,-34.5833
2024-12-02,196170,알테오젠,,109.35,,16167220586000,445500.0,67800.0,62.01,-15.2875,247.3486
2025-01-02,196170,알테오젠,,108.63,,16060152900000,445500.0,71400.0,61.11,7.1429,-35.1269
2025-02-03,196170,알테오젠,,127.64,,18870679657500,445500.0,71400.0,75.14,16.9154,-51.2547
2025-03-04,196170,알테오젠,,144.84,,21413537200000,445500.0,87100.0,87.3,7.6716,4.993
2025-04-01,196170,알테오젠,316.98,72.56,22.89,19887822674500,445500.0,160800.0,74.01,-4.0052,65.2267
2025-05-02,196170,알테오젠,304.18,69.63,22.89,19084815029500,445500.0,164400.0,68.34,-1.6552,-57.7565
2025-06-02,196170,알테오젠,298.63,68.36,22.89,18736845050000,445500.0,180000.0,64.03,-3.5813,-5.9812
2025-07-01,196170,알테오젠,317.83,72.75,22.89,19941356517500,445500.0,255000.0,61.68,11.3602,17.9317
2025-08-01,196170,알테오젠,360.07,82.42,22.89,22591281746000,490000.0,261500.0,70.24,6.0302,16.8142
2025-09-01,196170,알테오젠,388.23,88.87,22.89,24357898565000,490000.0,277000.0,83.57,0.2203,-24.768
2025-10-01,196170,알테오젠,390.78,89.45,22.89,24518500094000,507000.0,277000.0,78.7,-0.973,17.3294
2025-11-03,196170,알테오젠,446.25,102.15,22.89,27998199889000,523000.0,277000.0,100.0,17.0022,-6.771
2025-12-01,196170,알테오젠,462.46,105.86,22.89,29015342906000,559000.0,277000.0,93.97,10.9519,31.5373
