date,ticker,name,per,pbr,roe,market_cap,high_52w,low_52w,price_position_52w,momentum_1m,volume_change
2023-01-02,196170,알테오젠,101.8,11.19,10.99,2122019182800,63810.0,28694.0,31.06,3.2595,-5.8831
2023-02-01,196170,알테오젠,97.81,10.75,10.99,2038960351150,63810.0,28694.0,26.64,-0.5229,-39.9114
2023-03-02,196170,알테오젠,93.57,10.29,11.0,1950542885200,63810.0,28694.0,21.94,-0.8174,29.6802
2023-04-03,196170,알테오젠,,13.79,,2097905328450,63810.0,28694.0,29.78,6.0976,47.2799
2023-05-02,196170,알테오젠,,15.34,,2333685237650,63810.0,28694.0,42.31,9.8361,100.1273
2023-06-01,196170,알테오젠,,19.61,,2829358910400,63810.0,28694.0,68.65,21.3793,-47.2082
2023-07-03,196170,알테오젠,,15.99,,2306892066150,63810.0,28694.0,40.88,-18.4659,-19.1303
2023-08-01,196170,알테오젠,,16.36,,2360478409150,63810.0,28694.0,43.73,2.3229,6.3832
2023-09-01,196170,알테오젠,303.82,13.67,4.5,2344402506250,53384.0,28694.0,60.98,3.796,-7.2241
2023-10-04,196170,알테오젠,453.47,20.4,4.5,3499188197900,81000.0,28694.0,69.98,42.7322,607.6632
2023-11-01,196170,알테오젠,436.11,19.62,4.5,3365222340400,81000.0,32000.0,62.86,-0.7899,-56.3876
2023-12-01,196170,알테오젠,594.24,26.86,4.52,4426231931800,82600.0,32000.0,100.0,21.1144,-14.3654
2024-01-02,196170,알테오젠,658.27,29.76,4.52,4903150384500,98500.0,32000.0,89.47,16.4122,6.0856
2024-02-01,196170,알테오젠,513.67,23.22,4.52,3826064890200,98500.0,32000.0,59.25,-21.105,-25.3916
2024-03-04,196170,알테오젠,1202.88,54.37,4.52,8959636549600,167200.0,32000.0,100.0,106.9307,132.9857
2024-04-01,196170,알테오젠,,66.68,,9983135700900,219500.0,36800.0,81.83,16.0025,-20.0413
2024-05-02,196170,알테오젠,,64.71,,9688410814400,219500.0,38100.0,78.67,-2.9522,-28.053
2024-06-03,196170,알테오젠,409.47,62.27,15.21,10663682257000,219500.0,38100.0,88.7,12.4929,0.1593
2024-07-01,196170,알테오젠,570.99,86.83,15.21,14870210182500,289500.0,38100.0,95.23,54.1667,16.688
2024-08-01,196170,알테오젠,656.38,99.82,15.21,17094043417000,320500.0,40550.0,99.46,23.4043,-22.1251
2024-09-02,196170,알테오젠,,91.91,,17254802446000,322000.0,42400.0,100.0,0.9404,-6.9729
2024-10-02,196170,알테오젠,,95.9,,18005011248000,363000.0,54800.0,91.24,5.3292,-34.7275
2024-11-01,196170,알테오젠,,101.75,,19103531279500,397500.0,54800.0,88.04,9.0214,-34.5833
2024-12-02,196170,알테오젠,,90.27,,16183075586000,445500.0,67800.0,62.01,-15.2875,247.3486
2025-01-02,196170,알테오젠,,89.68,,16075902900000,445500.0,71400.0,61.11,7.1429,-35.1269
2025-02-03,196170,알테오젠,,105.37,,18889185907500,445500.0,71400.0,75.14,16.9154,-51.2547
2025-03-04,196170,알테오젠,,119.57,,21434537200000,445500.0,87100.0,87.3,7.6716,4.993
2025-04-01,196170,알테오젠,316.98,72.4,22.84,19907326424500,445500.0,160800.0,74.01,-4.0052,65.2267
2025-05-02,196170,알테오젠,304.18,69.48,22.84,19103531279500,445500.0,164400.0,68.34,-1.6552,-57.7565
2025-06-02,196170,알테오젠,149.76,50.67,33.83,18755220050000,445500.0,180000.0,64.03,-3.5813,-5.9812
2025-07-01,196170,알테오젠,159.39,53.92,33.83,19960912767500,445500.0,255000.0,61.68,11.3602,17.9317
2025-08-01,196170,알테오젠,180.57,61.09,33.83,22613436746000,490000.0,261500.0,70.24,6.0302,16.8142
2025-09-01,196170,알테오젠,256.77,70.63,27.51,24381786065000,490000.0,277000.0,83.57,0.2203,-24.768
2025-10-01,196170,알테오젠,258.47,71.09,27.5,24542545094000,507000.0,277000.0,78.7,-0.973,17.3294
2025-11-03,196170,알테오젠,295.15,81.18,27.5,28025657389000,523000.0,277000.0,100.0,17.0022,-6.771
2025-12-01,196170,알테오젠,229.18,77.33,33.74,29043797906000,559000.0,277000.0,93.97,10.9519,31.5373
