ticker,name,signal_date,price,signal,confidence,reasons
005930,삼성전자,2023-01-02,55500,Sell,78,"[""전년 동기 대비 영업이익이 31.4% 급감하며 수익성이 크게 악화되었습니다."", ""최근 1개월 수익률이 -11.34%이며 거래량 변화율 또한 -18.94%로 하락 추세와 매수세 위축이 동시에 나타나고 있습니다."", ""현재 주가 위치가 52주 최저가 대비 10.4% 수준에 머물러 있어 단기적인 하방 압력이 강한 상태입니다.""]"
005930,삼성전자,2023-02-01,61800,Buy,82,"[""최근 1개월 수익률(+11.75%)과 거래량 변화율(+47.34%)이 모두 상승하며 단기적인 주가 상승 모멘텀이 확인됨"", ""현재가(61,800원)가 최근 애널리스트 리포트의 목표주가 범위(73,000원~90,000원) 대비 현저히 낮은 저평가 구간에 위치함"", ""부채비율 36.4%의 낮은 재무 리스크와 43.6조원의 강력한 영업현금흐름을 바탕으로 하방 경직성을 확보함""]"
005930,삼성전자,2023-03-02,60800,Buy,78,"[""제공된 모든 애널리스트의 목표주가(72,000원~90,000원)가 현재가(60,800원)보다 상당히 높게 형성되어 있어 상승 여력이 큼"", ""PBR 1.17배의 낮은 밸류에이션과 부채비율 36.4% 및 영업현금흐름 43.6조원의 매우 강력한 재무 안정성을 보유함"", ""52주 가격 범위 내 현재 위치가 40.4%로 하단 영역에 위치하여 기술적 반등 가능성이 존재함""]"
005930,삼성전자,2023-04-03,63100,Buy,88,"[""현재가(63,100원)가 최근 애널리스트 리포트의 평균 목표주가(약 79,000원) 대비 상당한 저평가 상태에 있음"", ""PER 7.8, PBR 1.04의 낮은 밸류에이션과 부채비율 26.4%, 영업현금흐름 62.2조원의 매우 강력한 재무 안정성을 보유함"", ""최근 1개월 수익률 4.30% 상승 및 거래량 증가세가 나타나며 기술적으로 바닥을 통과하는 반등 국면에 진입한 것으로 판단됨""]"
005930,삼성전자,2023-05-02,65700,Buy,85,"[""최근 애널리스트 리포트 5건 모두 목표주가를 78,000원에서 90,000원으로 제시하여 현재가(65,700원) 대비 상승 여력이 높음"", ""PER 8.2, PBR 1.08의 낮은 밸류에이션과 부채비율 26.4%, 영업현금흐름 62.2조원의 매우 강력한 재무 안정성을 보유함"", ""거래량 변화율이 18.24% 증가하며 긍정적인 수급 흐름을 보이고 있으며, 2Q23 실적 저점 통과 및 반등 예상이라는 분석이 지배적임""]"
005930,삼성전자,2023-06-01,70900,Neutral,75,"[""현재 주가가 52주 최고가(72,300원)의 92.9% 수준에 위치하여 단기적인 가격 저항선에 근접함"", ""1분기 영업이익이 전년 동기 대비 95.5% 급감하고 영업이익률이 1.0%에 불과해 펀더멘털의 단기 악화가 뚜렷함"", ""최근 1개월 수익률은 8.24%로 상승했으나 거래량 변화율이 -8.10%로 감소하며 상승 모멘텀이 둔화되는 양상임""]"
005930,삼성전자,2023-07-03,73000,Sell,85,"[""현재가가 52주 최고가(73,000원)에 도달하여 52주 내 위치가 100%로, 단기적으로 강력한 저항선에 직면해 있습니다."", ""1분기 영업이익이 전년 동기 대비 95.5% 급감하고 영업이익률이 1.0%에 불과하여 펀더멘털의 심각한 훼손이 확인됩니다."", ""주가가 최고점에 도달했음에도 거래량 변화율이 -8.80%로 감소하고 있어 상승 모멘텀이 약화되는 추세입니다.""]"
005930,삼성전자,2023-08-01,71100,Buy,85,"[""최근 30일 내 발행된 5건의 리포트 모두 목표주가를 87,000원~95,000원으로 제시하여 현재가(71,100원) 대비 높은 상승 여력을 보임"", ""PER 8.8, PBR 1.17의 낮은 밸류에이션과 부채비율 26.2%, 영업현금흐름 6.3조원의 강력한 재무 안정성을 보유함"", ""1분기 영업이익 급감에도 불구하고 3분기 DRAM 및 4분기 DS 부문의 흑자 전환 전망과 거래량 증가율(+19.54%)이 주가 반등의 근거가 됨""]"
005930,삼성전자,2023-09-01,71000,Sell,85,"[""전년 동기 대비 영업이익이 95.3% 급감하였으며 영업이익률이 1.1%로 매우 낮은 수준입니다."", ""현재 주가가 52주 최고가 대비 88.5% 위치에 있어 단기적인 추가 상승 여력이 제한적입니다."", ""거래량 변화율이 -19.74%로 감소하며 주가 상승을 견인할 매수 모멘텀이 약화되고 있습니다.""]"
005930,삼성전자,2023-10-04,67500,Buy,85,"[""PER 8.4 및 PBR 1.11의 낮은 밸류에이션 지표는 현재 주가가 저평가 구간에 있음을 시사함"", ""최근 30일간의 애널리스트 리포트가 메모리 가격 상승 및 DRAM 이익 개선을 근거로 현재가보다 훨씬 높은 90,000~95,000원의 목표주가를 일관되게 제시함"", ""거래량 변화율이 32.09% 증가하며 시장의 관심이 높아지는 가운데, 부채비율 24.8%와 영업현금흐름 14.5조원의 강력한 재무 안정성을 보유함""]"
005930,삼성전자,2023-11-01,68600,Buy,85,"[""최근 애널리스트 리포트들이 메모리 반도체 턴어라운드와 '골짜기를 지났다'는 분석과 함께 현재가 대비 높은 목표주가(90,000원~95,000원)를 제시하고 있습니다."", ""PER 8.5배와 PBR 1.13배의 낮은 밸류에이션과 더불어 부채비율 24.8%, 영업현금흐름 14.5조원의 매우 우수한 재무 안정성을 보유하고 있습니다."", ""2분기 영업이익이 전년 대비 95.3% 급감하며 최저점을 통과한 후, 최근 리포트에서 우려보다 양호한 실적 회복 신호가 포착되었습니다.""]"
005930,삼성전자,2023-12-01,72000,Neutral,75,"[""현재가가 52주 최고가(73,400원)의 92.3% 수준까지 상승하여 단기적인 가격 저항선에 도달한 상태임"", ""3분기 영업이익이 전년 동기 대비 77.6% 급감하며 실적의 가파른 하락세가 확인됨"", ""거래량 변화율이 -16.55%로 감소하며 주가 상승을 뒷받침할 시장의 모멘텀이 약화되고 있음""]"
005930,삼성전자,2024-01-02,79600,Neutral,70,"[""현재가가 52주 최고가인 79,600원에 도달하여 기술적 저항선에 위치해 있습니다."", ""3분기 영업이익이 전년 동기 대비 77.6% 급감하며 펀더멘털의 단기적 약세가 확인됩니다."", ""HBM3 고객 확대 전망과 목표주가 90,000원이 제시되어 있어 하락 요인과 상승 모멘텀이 팽팽하게 대립합니다.""]"
005930,삼성전자,2024-02-01,73600,Neutral,48,"[""최근 1개월 수익률이 -4.42%이며, 최근 발행된 5건의 리포트 모두 4분기 실적이 예상치 및 기대치를 하회했다고 분석함"", ""2023년 3분기 영업이익이 전년 동기 대비 77.6% 급감하며 단기적인 실적 모멘텀이 크게 훼손된 상태임"", ""PER 9.1, PBR 1.21의 낮은 밸류에이션과 애널리스트들의 목표주가(최저 87,000원)가 현재가보다 상당히 높아 하방 지지력이 강함""]"
